courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_389.0,score_394.0,score_400.0,score_402.0,score_404.0,score_415.0,score_419.0,score_420.0,score_428.0,score_446.0,score_450.0,score_467.0,score_471.0,score_473.0,score_490.0,score_495.0,score_496.0,score_518.0,score_637.0,score_641.0,score_N/A
20,13607,True,False,1.0,0.9951923076923077,1440.8,1190.0,https://github.com/rolling-scopes-school/e8821ec8-1910-531b-be60-05f69d1325aa-RSSPL2020Q1,60,100,64.8,100,5.0,5.0,80,50.0,100,70.0,0.0,56,110,280,100,100,100,60,0,0,0
20,13608,True,False,0.9902831760133259,0.9903846153846154,1426.8,1042.0,https://github.com/rolling-scopes-school/8ad3c2b7-abea-5830-a181-f3597564bc95-RSSPL2020Q1,60,100,49.8,93,5.0,5.0,85,50.0,100,45.5,2.5,56,97,280,100,100,100,98,0,0,0
20,13587,True,False,0.9368406440866185,0.9855769230769231,1349.8,1190.0,https://github.com/rolling-scopes-school/aee7a258-0442-544d-b47e-577443cc4ed4-RSSPL2020Q1,60,100,76.8,100,5.0,5.0,80,50.0,100,70.0,0.0,56,100,200,97,100,90,60,0,0,0
20,13642,True,False,0.9063020544142143,0.9807692307692307,1305.8,1042.0,https://github.com/rolling-scopes-school/f0c4cc58-d714-5958-8f32-7357c72eff95-RSSPL2020Q1,60,100,67.8,77,0.0,5.0,80,43.5,0,66.5,0.0,56,100,190,100,85,93,82,0,100,0
20,13610,True,False,0.9000555247084953,0.9759615384615384,1296.8,1042.0,https://github.com/rolling-scopes-school/6ef6843c-1b50-594e-85a1-098b29e6d652-RSSPL2020Q1,60,50,55.8,62,5.0,0.0,90,42.5,85,66.5,0.0,56,95,270,80,87,94,98,0,0,0
20,13581,True,False,0.8824264297612439,0.9711538461538461,1271.4,1039.0,https://github.com/rolling-scopes-school/0b5a8735-b3e0-597e-a3e1-20fc2b7a38a5-RSSPL2020Q1,60,50,41.4,68,5.0,0.0,70,50.0,95,70.0,0.0,56,90,240,100,100,100,76,0,0,0
20,13614,True,False,0.8691699056079956,0.9663461538461539,1252.3,1050.0,https://github.com/rolling-scopes-school/ee611474-bcbe-56e4-a0af-d8c79b687f4c-RSSPL2020Q1,60,100,64.8,100,5.0,5.0,85,40.0,80,66.5,0.0,56,100,220,0,100,85,85,0,0,0
20,13684,True,False,0.8659078289838978,0.9615384615384616,1247.6,1042.0,https://github.com/rolling-scopes-school/4233400d-a56d-52a8-a1c5-34383838f658-RSSPL2020Q1,60,100,54.6,69,5.0,5.0,0,45.0,100,35.0,0.0,56,100,250,92,92,95,89,0,0,0
20,13781,True,False,0.8519919489172681,0.9567307692307693,1227.55,1036.0,https://github.com/rolling-scopes-school/719b897e-7032-5d58-a64e-83c6036b5a30-RSSPL2020Q1,60,100,76.8,68,4.25,0.0,95,46.5,76,70.0,0.0,56,73,150,80,76,100,96,0,0,0
20,13718,True,False,0.8233620210993893,0.9519230769230769,1186.3,1172.0,https://github.com/rolling-scopes-school/357679a2-cca3-53ee-ba14-78d0ce2cac8f-RSSPL2020Q1,60,100,55.8,97,5.0,5.0,80,47.5,100,70.0,0.0,56,110,200,100,100,0,0,0,0,0
20,13630,True,False,0.8230149916712938,0.9471153846153846,1185.8,1190.0,https://github.com/rolling-scopes-school/b8f3e463-b449-5c7c-8758-6e17da1202bd-RSSPL2020Q1,60,100,76.8,100,5.0,5.0,80,50.0,100,62.99999999999999,0.0,56,110,0,90,90,100,100,0,0,0
20,13594,True,False,0.8170460855080511,0.9423076923076923,1177.2,1242.0,https://github.com/rolling-scopes-school/ded2ece0-011f-5013-b3b0-7657611662ba-RSSPL2020Q1,60,100,19.2,74,4.0,0.0,79,35.0,90,62.99999999999999,0.0,56,100,220,95,0,97,85,0,0,0
20,13840,True,False,0.8081621321488063,0.9375,1164.4,1042.0,https://github.com/rolling-scopes-school/beb3dfa3-4459-543f-8415-0738bbde8347-RSSPL2020Q1,60,100,18.0,39,0.0,0.0,80,42.5,90,67.89999999999999,0.0,56,105,170,87,85,88,76,0,0,0
20,13657,True,False,0.800458078845086,0.9326923076923077,1153.3,1036.0,https://github.com/rolling-scopes-school/08155620-997c-5c4f-87bc-0c328d5940ef-RSSPL2020Q1,60,100,43.8,74,5.0,0.0,60,42.5,100,70.0,0.0,56,65,150,94,83,75,75,0,0,0
