courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_172.0,score_173.0,score_174.0,score_175.0,score_176.0,score_177.0,score_178.0,score_179.0,score_180.0,score_181.0,score_182.0,score_183.0,score_184.0,score_185.0,score_186.0,score_187.0,score_188.0,score_189.0,score_N/A
4,3285,True,False,1.0,0.9896907216494846,2208.0,314.0,N/A,1052,0,65,100,100,99,96,102,75,85,20,69,0,90,100,80,0,75,0
4,3362,True,False,0.9977355072463768,0.979381443298969,2203.0,316.0,N/A,1007,20,93,100,100,96,72,94,0,80,25,86,0,80,100,80,100,70,0
4,3372,True,False,0.751358695652174,0.9690721649484536,1659.0,316.0,N/A,610,0,88,100,90,60,78,87,0,77,22,76,0,70,100,70,61,70,0
4,3318,True,False,0.7427536231884058,0.9587628865979382,1640.0,317.0,N/A,702,0,87,100,100,80,0,0,53,36,0,0,106,70,100,60,96,50,0
4,3253,True,False,0.7196557971014492,0.9484536082474226,1589.0,316.0,N/A,376,25,100,100,100,79,81,83,0,53,26,90,0,100,100,100,76,100,0
4,3276,True,False,0.6865942028985508,0.9381443298969072,1516.0,317.0,N/A,673,5,79,100,100,0,0,0,74,49,26,90,0,70,90,60,30,70,0
4,3367,True,False,0.6834239130434783,0.9278350515463918,1509.0,316.0,N/A,440,0,89,100,100,93,101,85,0,82,22,76,0,70,100,60,91,0,0
4,3270,True,False,0.6825181159420289,0.9175257731958762,1507.0,317.0,N/A,443,0,100,100,100,91,0,0,85,70,28,97,0,80,100,70,78,65,0
4,3279,True,False,0.6671195652173914,0.9072164948453608,1473.0,315.0,N/A,45,45,90,100,115,100,95,102,100,90,26,90,0,90,95,90,100,100,0
4,3251,True,False,0.6480978260869565,0.8969072164948454,1431.0,316.0,N/A,283,0,89,100,100,96,115,102,0,80,18,62,0,70,97,90,74,55,0
4,3381,True,False,0.6390398550724637,0.8865979381443299,1411.0,315.0,N/A,58,10,85,100,100,90,95,110,95,90,25,86,0,100,100,100,97,70,0
4,3369,True,False,0.625,0.8762886597938144,1380.0,314.0,N/A,247,10,70,100,100,95,92,78,75,85,22,76,0,80,100,80,0,70,0
4,3261,True,False,0.6168478260869565,0.865979381443299,1362.0,317.0,N/A,318,0,86,100,100,90,0,0,85,82,21,72,0,80,97,80,76,75,0
4,3314,True,False,0.6032608695652174,0.8556701030927835,1332.0,315.0,N/A,181,10,100,100,100,70,85,102,85,95,16,55,0,70,82,100,81,0,0
4,3274,True,False,0.5960144927536232,0.845360824742268,1316.0,317.0,N/A,263,0,95,100,100,96,0,0,87,95,24,83,0,80,100,100,93,0,0
4,3268,True,False,0.5919384057971014,0.8350515463917526,1307.0,316.0,N/A,151,0,75,100,90,95,90,76,0,60,21,72,0,90,100,100,97,90,0
4,3273,True,False,0.5815217391304348,0.8247422680412371,1284.0,315.0,N/A,247,0,65,100,100,70,85,65,0,45,27,93,0,80,95,80,82,50,0
4,3271,True,False,0.5806159420289855,0.8041237113402062,1282.0,315.0,N/A,49,10,95,100,100,80,75,85,75,75,20,69,0,80,97,80,92,100,0
4,3262,True,False,0.5806159420289855,0.8041237113402062,1282.0,315.0,N/A,159,5,85,100,80,100,80,93,90,80,15,52,66,0,97,70,70,40,0
4,3252,True,False,0.5742753623188406,0.7938144329896907,1268.0,314.0,N/A,350,0,0,100,100,85,88,110,65,65,0,0,0,60,100,90,0,55,0
4,3249,False,False,0.5661231884057971,0.7835051546391752,1250.0,314.0,N/A,9,20,95,100,100,96,99,110,90,90,25,86,0,100,100,80,0,50,0
4,3250,False,False,0.5652173913043478,0.7731958762886598,1248.0,315.0,N/A,191,0,100,100,100,70,40,78,60,70,21,72,0,70,100,80,96,0,0
4,3255,False,False,0.5634057971014492,0.7628865979381443,1244.0,316.0,N/A,315,0,86,100,100,98,86,34,0,51,16,55,0,75,98,80,0,50,0
4,3258,False,False,0.5430253623188406,0.7525773195876289,1199.0,316.0,N/A,12,0,99,100,100,93,88,100,0,99,27,93,0,40,100,100,93,55,0
4,3265,False,False,0.5330615942028986,0.7422680412371134,1177.0,316.0,N/A,116,10,87,100,80,94,88,95,0,39,22,76,0,80,100,70,60,60,0
4,3370,False,False,0.5262681159420289,0.7319587628865979,1162.0,317.0,N/A,49,0,96,100,100,95,0,0,100,106,26,90,0,40,100,100,100,60,0
