courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_238.0,score_239.0,score_260.0,score_263.0,score_264.0,score_265.0,score_266.0,score_267.0,score_268.0,score_269.0,score_271.0,score_272.0,score_273.0,score_274.0,score_275.0,score_276.0,score_N/A
9,5030,True,False,1.0000005607476634,0.9974747474747475,1391.0007799999998,521.0,N/A,30,0.0007800000000000001,50.0,120,100,40.5,100,100,100,100,28.5,100,175,27,200,120,0
9,5514,True,False,0.988138490294752,0.9949494949494949,1374.50064,487.0,N/A,21,0.00064,40.0,120,100,40.5,100,95,100,142,0.0,100,175,36,185,120,0
9,4866,True,False,0.9845440402588066,0.9924242424242424,1369.50076,492.0,N/A,30,0.00076,45.5,120,100,40.5,100,90,90,140,28.5,100,175,0,210,100,0
9,4902,True,False,0.9629762760603882,0.98989898989899,1339.5,552.0,N/A,31,0.0,48.0,120,100,33.0,100,98,100,150,25.5,100,164,0,175,95,0
9,5029,True,False,0.9306258015815959,0.9873737373737373,1294.50049,523.0,N/A,20,0.0004900000000000001,47.5,100,80,40.5,95,90,70,150,28.5,120,160,18,185,90,0
9,4958,True,False,0.9058235945363048,0.9848484848484849,1260.00062,557.0,N/A,37,0.00062,47.5,100,100,37.5,100,100,100,145,15.0,100,100,18,160,100,0
9,5515,True,False,0.8997124370956147,0.9823232323232324,1251.5,504.0,N/A,32,0.0,49.0,100,85,34.5,100,100,100,95,21.0,100,150,0,185,100,0
9,5016,True,False,0.8971967649173257,0.9797979797979798,1248.0007,502.0,N/A,37,0.0007000000000000001,45.0,120,90,40.5,90,90,80,136,31.5,120,175,18,175,0,0
9,4833,True,False,0.893817771387491,0.9772727272727273,1243.30052,488.0,N/A,22,0.0005200000000000001,46.0,94,99,27.3,97,90,100,100,21.0,80,169,18,180,100,0
9,5516,True,False,0.8828185406182604,0.9747474747474747,1228.00059,502.0,N/A,35,0.00059,50.0,100,100,34.5,100,100,100,129,19.5,115,160,0,185,0,0
9,4922,True,False,0.8792238964773544,0.9722222222222222,1223.00044,500.0,N/A,29,0.00044,45.0,80,100,34.5,90,100,90,117,19.5,63,165,0,190,100,0
9,5517,True,False,0.8670025808770669,0.9696969696969697,1206.00059,489.0,N/A,22,0.00059,35.0,100,100,33.0,90,100,100,100,21.0,100,105,0,180,120,0
9,4888,True,False,0.8519054780733286,0.9671717171717171,1185.00052,533.0,N/A,22,0.0005200000000000001,37.0,100,70,31.5,89,95,95,150,19.5,65,118,18,180,95,0
9,4818,True,False,0.8515458878504671,0.9646464646464646,1184.5003299999998,481.0,N/A,24,0.00033000000000000005,47.5,95,100,34.5,90,100,70,100,22.5,60,168,18,170,85,0
9,4874,True,False,0.8431348885693745,0.9621212121212122,1172.80063,538.0,N/A,28,0.00063,42.5,100,100,30.299999999999997,100,100,90,100,0.0,120,115,27,130,90,0
9,4873,True,False,0.8310567936736161,0.9595959595959596,1156.0,N/A,N/A,31,0.0,50.0,120,100,30.0,100,90,40,113,15.0,105,125,27,125,85,0
9,4863,True,False,0.8256655930984904,0.9570707070707071,1148.5008400000002,492.0,N/A,25,0.00084,47.5,100,95,31.5,100,100,70,100,22.5,110,84,18,150,95,0
9,4991,True,False,0.811646757728253,0.9545454545454546,1129.00064,529.0,N/A,28,0.00064,44.5,100,100,33.0,100,100,70,100,25.5,120,148,0,160,0,0
9,4960,True,False,0.8048169662113587,0.952020202020202,1119.5004,494.0,N/A,32,0.0004,44.0,40,100,30.0,100,90,90,140,19.5,65,145,9,110,105,0
9,5518,True,False,0.789000718907261,0.9494949494949495,1097.5,494.0,N/A,21,0.0,48.0,40,100,30.0,95,100,95,145,19.5,100,144,0,80,80,0
9,4889,True,False,0.7873478864126527,0.946969696969697,1095.20091,508.0,N/A,38,0.0009100000000000001,49.0,100,100,37.199999999999996,100,98,90,143,24.0,120,160,36,0,0,0
9,4892,True,False,0.7851186196980589,0.9444444444444444,1092.1,498.0,N/A,25,0.0,41.5,82,110,24.599999999999998,100,100,100,142,15.0,80,95,27,150,0,0
9,5042,True,False,0.7839686628324947,0.9419191919191919,1090.50041,523.0,N/A,28,0.00041000000000000005,47.5,120,100,30.0,95,95,40,120,0.0,100,135,0,180,0,0
9,5520,True,False,0.7815244931703811,0.9393939393939394,1087.10057,504.0,N/A,37,0.0005700000000000001,48.5,100,90,18.599999999999998,95,90,90,100,24.0,95,105,9,105,80,0
9,5521,True,False,0.7795833213515456,0.9368686868686869,1084.4004,531.0,N/A,25,0.0004,47.5,100,100,30.9,97,100,60,122,21.0,93,143,0,145,0,0
9,4845,True,False,0.7789362832494608,0.9343434343434344,1083.50037,523.0,N/A,29,0.00037000000000000005,48.5,120,95,33.0,100,100,90,144,27.0,110,160,27,0,0,0
9,5522,True,False,0.7783612868439972,0.9318181818181818,1082.70055,508.0,N/A,33,0.00055,50.0,90,85,34.199999999999996,100,100,100,126,19.5,100,105,0,140,0,0
9,5523,True,False,0.7778580445722502,0.9292929292929293,1082.00054,492.0,N/A,32,0.00054,41.5,90,100,40.5,100,90,80,100,18.0,100,45,0,150,95,0
9,4995,True,False,0.7771391085549965,0.9267676767676768,1081.0005,528.0,N/A,28,0.0005,50.0,40,95,30.0,100,90,80,90,18.0,90,100,0,150,120,0
9,4979,True,False,0.7710284974838245,0.9242424242424242,1072.50064,526.0,N/A,23,0.00064,42.5,98,84,31.5,90,95,65,90,28.5,90,120,0,125,90,0
9,4877,True,False,0.7625449317038102,0.9217171717171717,1060.7,533.0,N/A,28,0.0,36.5,40,100,20.7,91,90,80,100,19.5,65,120,0,185,85,0
9,4942,True,False,0.7562908267433501,0.9191919191919192,1052.00054,541.0,N/A,28,0.00054,43.0,80,90,40.5,100,97,97,138,22.5,120,169,27,0,0,0
9,4882,True,False,0.7557875413371674,0.9166666666666666,1051.30047,508.0,N/A,31,0.00047000000000000004,46.5,95,100,40.8,90,95,95,140,21.0,100,170,27,0,0,0
9,4996,True,False,0.7541342199856219,0.9141414141414141,1049.0007,537.0,N/A,30,0.0007000000000000001,50.0,90,100,40.5,100,100,80,80,28.5,60,120,0,170,0,0
9,5007,True,False,0.7469449892163912,0.9116161616161617,1039.0004800000002,530.0,N/A,31,0.00048000000000000007,47.5,100,100,39.0,100,95,85,137,28.5,110,148,18,0,0,0
9,4948,True,False,0.7444290294751976,0.9090909090909091,1035.5007799999998,531.0,N/A,22,0.0007800000000000001,49.0,60,100,33.0,100,100,85,100,19.5,115,145,27,80,0,0
9,4872,True,False,0.7422001365923796,0.9065656565656566,1032.40039,541.0,N/A,18,0.00039000000000000005,31.5,35,95,21.9,85,88,80,123,15.0,100,125,0,120,95,0
9,5526,True,False,0.7373117828900072,0.9040404040404041,1025.60069,526.0,N/A,28,0.0006900000000000001,48.0,100,100,15.6,87,100,90,100,15.0,65,100,0,127,50,0
9,5527,True,False,0.7276064342199856,0.9015151515151515,1012.10055,555.0,N/A,31,0.00055,40.0,30,95,14.1,90,85,80,100,18.0,90,143,36,160,0,0
9,5528,True,False,0.7251619194823868,0.898989898989899,1008.70023,510.0,N/A,36,0.00023,50.0,115,100,29.7,100,100,85,100,15.0,100,160,18,0,0,0
9,4819,True,False,0.7240120273184759,0.8964646464646465,1007.10073,483.0,N/A,20,0.0007300000000000001,40.0,80,87,26.099999999999998,60,100,75,134,15.0,60,100,0,110,100,0
9,4876,True,False,0.7207045291157441,0.8939393939393939,1002.5,499.0,N/A,23,0.0,48.5,100,100,33.0,100,97,100,100,21.0,0,135,0,145,0,0
9,5530,True,False,0.7171105607476636,0.8914141414141414,997.50079,515.0,N/A,33,0.00079,45.0,120,100,40.5,95,100,100,143,18.0,85,100,18,0,0,0
9,5027,True,False,0.7052484543493889,0.8888888888888888,981.0006,475.0,N/A,29,0.0006000000000000001,50.0,90,85,30.0,70,100,60,100,0.0,40,110,27,110,80,0
9,4887,True,False,0.6986344428468727,0.8863636363636364,971.8005099999999,506.0,N/A,27,0.00051,50.0,85,95,18.3,95,100,90,100,19.5,95,170,27,0,0,0
9,4944,True,False,0.6984189000718907,0.8838383838383839,971.50069,510.0,N/A,36,0.0006900000000000001,50.0,100,100,30.0,100,100,70,90,28.5,98,160,9,0,0,0
9,4813,True,False,0.6980592954708843,0.8813131313131313,971.00048,N/A,N/A,29,0.00048000000000000007,42.0,100,100,30.0,85,90,85,95,15.0,90,60,0,57,93,0
9,5561,True,False,0.6969811071171819,0.8787878787878788,969.50072,534.0,N/A,31,0.00072,45.0,100,100,40.5,100,95,100,149,0.0,45,164,0,0,0,0
9,5000,True,False,0.6956868296189791,0.8762626262626263,967.70038,483.0,N/A,20,0.00038,43.5,100,70,29.7,100,100,50,85,19.5,100,120,0,130,0,0
9,5531,True,False,0.692667145938174,0.8737373737373737,963.5,476.0,N/A,29,0.0,40.0,100,100,31.5,95,100,100,100,18.0,100,150,0,0,0,0
9,5532,True,False,0.6913012221423437,0.8712121212121212,961.6,515.0,N/A,19,0.0,45.0,120,100,21.599999999999998,100,95,85,100,18.0,115,125,18,0,0,0
9,4864,True,False,0.6905828828181165,0.8686868686868687,960.6007900000001,537.0,N/A,31,0.00079,50.0,100,100,39.6,100,100,100,100,0.0,120,120,0,0,0,0
9,4963,True,False,0.6750543637670741,0.8661616161616161,939.00062,507.0,N/A,37,0.00062,47.0,100,100,30.0,100,100,80,145,15.0,100,85,0,0,0,0
9,5534,True,False,0.6707404744787923,0.8636363636363636,933.0,484.0,N/A,31,0.0,45.0,120,100,34.5,100,90,75,130,19.5,100,88,0,0,0,0
9,5535,True,False,0.6692310208483105,0.8611111111111112,930.90035,527.0,N/A,27,0.00035000000000000005,40.0,99,100,35.4,70,98,80,143,28.5,120,90,0,0,0,0
9,5034,True,False,0.6610352264557872,0.8585858585858586,919.5,475.0,N/A,31,0.0,47.5,100,100,33.0,93,100,60,140,15.0,100,100,0,0,0,0
9,4931,True,False,0.6606761107117182,0.8560606060606061,919.00047,479.0,N/A,24,0.00047000000000000004,47.5,100,100,30.0,90,100,60,100,25.5,100,115,27,0,0,0
9,5536,True,False,0.6592380086268872,0.8535353535353535,917.00007,484.0,N/A,31,7.000000000000001e-05,42.5,120,100,40.5,100,90,65,115,15.0,100,98,0,0,0,0
9,5039,True,False,0.6587348382458663,0.851010101010101,916.30016,481.0,N/A,18,0.00016,41.5,20,100,19.8,60,90,75,133,15.0,25,100,9,110,100,0
9,4967,True,False,0.6562185478073328,0.8484848484848485,912.8,538.0,N/A,17,0.0,47.0,40,100,25.8,100,100,80,0,18.0,65,120,0,150,50,0
9,5537,True,False,0.6534871890726096,0.8459595959595959,909.00068,529.0,N/A,25,0.00068,44.5,40,100,1.5,90,80,60,100,15.0,65,148,0,140,0,0
9,4850,True,False,0.6524806326383896,0.8434343434343434,907.60056,479.0,N/A,29,0.0005600000000000001,37.0,40,100,24.599999999999998,90,100,90,100,18.0,110,160,9,0,0,0
9,5025,True,False,0.6520488856937455,0.8409090909090909,907.0,506.0,N/A,23,0.0,45.0,120,100,31.5,80,100,70,100,19.5,100,118,0,0,0,0
9,4840,True,False,0.6448600934579438,0.8383838383838383,897.0003899999999,500.0,N/A,22,0.00039000000000000005,43.0,60,90,39.0,25,65,60,90,18.0,5,133,27,165,55,0
9,5539,True,False,0.6388931200575125,0.8358585858585859,888.70033,478.0,N/A,33,0.00033000000000000005,47.5,100,100,28.2,100,100,100,100,15.0,100,65,0,0,0,0
9,4816,True,False,0.6371675053918044,0.8333333333333334,886.3,479.0,N/A,29,0.0,40.5,10,100,28.799999999999997,90,100,95,100,15.0,100,160,18,0,0,0
9,5540,True,False,0.6363767074047448,0.8308080808080808,885.2,509.0,N/A,26,0.0,50.0,100,100,32.699999999999996,90,95,75,100,28.5,75,113,0,0,0,0
9,4913,True,False,0.6319194823867721,0.8282828282828283,879.0,547.0,N/A,22,0.0,50.0,70,110,37.5,97,85,70,100,19.5,90,128,0,0,0,0
9,5541,True,False,0.6291876347951114,0.8257575757575758,875.2,543.0,N/A,26,0.0,39.5,90,100,29.7,100,100,75,150,15.0,35,115,0,0,0,0
9,4907,True,False,0.6216391085549965,0.8232323232323232,864.7,508.0,N/A,32,0.0,42.0,40,95,17.7,80,100,55,90,18.0,100,60,0,135,0,0
9,5542,True,False,0.620273184759166,0.8207070707070707,862.8,504.0,N/A,36,0.0,24.0,100,100,22.8,85,70,95,100,30.0,95,105,0,0,0,0
9,5543,True,False,0.6191948238677211,0.8181818181818182,861.3,530.0,N/A,34,0.0,45.5,60,100,22.8,95,100,90,145,21.0,0,148,0,0,0,0
9,5544,True,False,0.5981313084112149,0.8156565656565656,832.00065,481.0,N/A,27,0.0006500000000000001,45.0,120,0,30.0,99,100,80,142,21.0,70,98,0,0,0,0
9,4832,True,False,0.5948240618260244,0.8131313131313131,827.40027,489.0,N/A,26,0.00027,35.0,90,100,8.4,85,75,75,100,0.0,90,143,0,0,0,0
9,5003,True,False,0.5945367721063982,0.8106060606060606,827.00065,496.0,N/A,33,0.0006500000000000001,48.0,100,100,40.5,80,100,90,90,25.5,120,0,0,0,0,0
9,5008,True,False,0.5932422717469447,0.8080808080808081,825.2,476.0,N/A,19,0.0,45.0,100,100,31.2,100,100,35,100,18.0,70,80,27,0,0,0
